Date,SPY,SHY,VIX,RV,IV,VRP,VRP_pct,w_SPY,w_SHY,ret_gross,ret_net
2008-06-04,99.61306762695312,63.81828308105469,20.799999237060547,0.018505297178570846,0.04326399682617193,0.024758699647601082,0.9206349206349206,0.7988333692946824,0.2011666307053176,-0.00047784265126607733,-0.00047784265126607733
2008-06-05,101.60504150390625,63.7336540222168,18.6299991607666,0.02270278790446245,0.03470768687301643,0.01200489896855398,0.7817460317460317,0.7988333692946824,0.2011666307053176,0.015707596100598315,0.015707596100598315
2008-06-06,98.36448669433594,63.81828308105469,23.559999465942383,0.03159053961191759,0.055507357483520536,0.02391681787160295,0.9126984126984127,0.602077043707763,0.39792295629223695,-0.025210585282207532,-0.025249936547324915
2008-06-09,98.6026611328125,63.49512481689453,23.1200008392334,0.031705715868294605,0.053453443880615306,0.0217477280123207,0.8941798941798942,0.602077043707763,0.39792295629223695,-0.0005571358688175201,-0.0005571358688175201
2008-06-10,98.11186981201172,63.348941802978516,23.18000030517578,0.03190056403241937,0.053731241414794934,0.02183067738237556,0.8955026455026455,0.602077043707763,0.39792295629223695,-0.003912944238570266,-0.003912944238570266
2008-06-11,96.66844177246094,63.456661224365234,24.1200008392334,0.032019631587607,0.058177444048461986,0.02615781246085499,0.9325396825396826,0.602077043707763,0.39792295629223695,-0.008181161853699052,-0.008181161853699052
2008-06-12,97.0364761352539,63.14887619018555,23.329999923706055,0.03240190402244446,0.05442888964401245,0.02202698562156799,0.8968253968253969,0.602077043707763,0.39792295629223695,0.0003621637751909507,0.0003621637751909507
2008-06-13,98.26343536376953,63.2181510925293,21.219999313354492,0.03482439442336542,0.045028837085876516,0.010204442662511096,0.7103174603174603,0.6408512818681853,0.3591487181318147,0.008049373600941625,0.00804161875330954
2008-06-16,98.3211898803711,63.25664138793945,20.950000762939453,0.032325248630151335,0.04389025319671636,0.011565004566565028,0.7592592592592593,0.6408512818681853,0.3591487181318147,0.0005953287968603779,0.0005953287968603779
2008-06-17,97.8448257446289,63.3797492980957,21.1299991607666,0.03227908654196831,0.04464768645339973,0.012368599911431424,0.7870370370370371,0.6408512818681853,0.3591487181318147,-0.00240594829291948,-0.00240594829291948
2008-06-18,96.89216613769531,63.4412841796875,22.239999771118164,0.03253192037700303,0.04946175898193359,0.01692983860493056,0.8518518518518519,0.6408512818681853,0.3591487181318147,-0.005890911117301349,-0.005890911117301349
2008-06-19,97.01485443115234,63.31819534301758,21.579999923706055,0.03238044929502659,0.04656963967071534,0.014189190375688748,0.8201058201058201,0.6408512818681853,0.3591487181318147,0.0001146479309716116,0.0001146479309716116
2008-06-20,95.44013214111328,63.433597564697266,22.8700008392334,0.032132763597721235,0.05230369383865363,0.020170930240932396,0.8822751322751323,0.6773703545400926,0.32262964545990735,-0.009747571392832484,-0.009754875207366865
2008-06-23,95.3458251953125,63.364356994628906,22.639999389648438,0.032071539151598924,0.051256957236328164,0.01918541808472924,0.873015873015873,0.6773703545400926,0.32262964545990735,-0.0010214922448529595,-0.0010214922448529595
2008-06-24,95.15727996826172,63.479736328125,22.420000076293945,0.030500444178623576,0.05026564034210205,0.019765196163478473,0.8783068783068783,0.6773703545400926,0.32262964545990735,-0.0007520196358930829,-0.0007520196358930829
