,raw,filled,clean
2024-07-05,225.031005859375,225.031005859375,225.031005859375
2024-07-08,226.50245666503906,226.50245666503906,226.50245666503906
2024-07-09,227.35748291015625,227.35748291015625,227.35748291015625
2024-07-10,231.6326141357422,231.6326141357422,231.6326141357422
2024-07-11,226.25392150878906,226.25392150878906,226.25392150878906
2024-07-12,229.20672607421875,229.20672607421875,229.20672607421875
2024-07-15,233.04440307617188,233.04440307617188,233.04440307617188
2024-07-16,233.46197509765625,233.46197509765625,233.46197509765625
2024-07-17,227.5563201904297,227.5563201904297,227.5563201904297
2024-07-18,222.8834991455078,222.8834991455078,222.8834991455078
2024-07-19,223.0127410888672,223.0127410888672,223.0127410888672
2024-07-22,222.66477966308594,222.66477966308594,222.66477966308594
2024-07-23,223.70870971679688,223.70870971679688,223.70870971679688
2024-07-24,217.276123046875,217.276123046875,217.276123046875
2024-07-25,216.23220825195312,216.23220825195312,216.23220825195312
2024-07-26,216.69947814941406,216.69947814941406,216.69947814941406
2024-07-29,216.9778594970703,216.9778594970703,216.9778594970703
2024-07-30,217.53460693359375,217.53460693359375,217.53460693359375
2024-07-31,220.795654296875,220.795654296875,220.795654296875
2024-08-01,217.09716796875,217.09716796875,217.09716796875
2024-08-02,218.58848571777344,218.58848571777344,218.58848571777344
2024-08-05,208.0597381591797,208.0597381591797,208.0597381591797
2024-08-06,206.03152465820312,206.03152465820312,206.03152465820312
2024-08-07,208.60655212402344,208.60655212402344,208.60655212402344
2024-08-08,212.0763702392578,212.0763702392578,212.0763702392578
2024-08-09,214.98944091796875,214.98944091796875,214.98944091796875
2024-08-12,216.5222930908203,216.5222930908203,216.5222930908203
2024-08-13,220.24497985839844,220.24497985839844,220.24497985839844
2024-08-14,220.69288635253906,220.69288635253906,220.69288635253906
2024-08-15,223.6790008544922,223.6790008544922,223.6790008544922
2024-08-16,225.00283813476562,225.00283813476562,225.00283813476562
2024-08-19,224.8435821533203,224.8435821533203,224.8435821533203
2024-08-20,225.46067810058594,225.46067810058594,225.46067810058594
2024-08-21,225.35121154785156,225.35121154785156,225.35121154785156
2024-08-22,223.4898681640625,223.4898681640625,223.4898681640625
2024-08-23,225.78916931152344,225.78916931152344,225.78916931152344
2024-08-26,226.12759399414062,226.12759399414062,226.12759399414062
2024-08-27,226.97364807128906,226.97364807128906,226.97364807128906
2024-08-28,225.4407958984375,225.4407958984375,225.4407958984375
2024-08-29,228.72549438476562,228.72549438476562,228.72549438476562
2024-08-30,227.93917846679688,227.93917846679688,227.93917846679688
2024-09-02,,227.93917846679688,227.93917846679688
2024-09-03,221.738037109375,221.738037109375,221.738037109375
2024-09-04,219.82693481445312,219.82693481445312,219.82693481445312
2024-09-05,221.34982299804688,221.34982299804688,221.34982299804688
2024-09-06,219.79705810546875,219.79705810546875,219.79705810546875
2024-09-09,219.8866424560547,219.8866424560547,219.8866424560547
2024-09-10,219.09034729003906,219.09034729003906,219.09034729003906
2024-09-11,221.6285400390625,221.6285400390625,221.6285400390625
2024-09-12,221.738037109375,221.738037109375,221.738037109375
2024-09-13,221.4692840576172,221.4692840576172,221.4692840576172
2024-09-16,215.3179168701172,215.3179168701172,215.3179168701172
