t0,proba_side,proba_meta,side,meta_gate,kelly_unsigned,pos_voltgt,ret_next,pnl_net
2025-04-14,0.292313826410059,0.016445580844629777,-1.0,0.0,-0.5,0.0,-0.001876367594633943,-3.787773017405828e-05
2025-04-16,0.9994221097763852,0.9285611813355974,1.0,1.0,0.5,0.07467458794111878,0.013949665806890499,0.0010043482520753029
2025-04-17,0.9091218321948401,0.06495649810607462,1.0,0.0,-0.5,-0.0,0.0,-3.7337293970559394e-05
2025-04-21,0.9400200396863467,0.8104185462374832,1.0,1.0,0.5,0.0742022629289292,0.034065110587777614,0.00249060716107286
2025-04-22,0.9426034904865698,0.7571337683508084,1.0,1.0,0.5,0.07365106386530444,0.02433168803229968,0.0017917791096857553
2025-04-23,0.009702037901564077,0.9388831642416896,-1.0,1.0,0.5,-0.07345284885213486,0.018426088780694405,-0.0014270006705030837
2025-04-24,0.005038510839351736,0.020914682334170615,-1.0,0.0,-0.5,0.0,0.004367221263343435,-3.672642442606743e-05
2025-04-25,0.005505048214388848,0.00013090722389140806,-1.0,0.0,-0.5,0.0,0.004109375580146679,0.0
2025-04-28,0.00045830451170069905,0.05490983824910366,-1.0,0.0,-0.5,0.0,0.005091821959763321,0.0
2025-04-29,0.04737241689738346,0.0016374217439695758,-1.0,0.0,-0.5,0.0,0.006107664653832723,0.0
2025-04-30,0.9165514048021826,0.003047210776261752,1.0,0.0,-0.5,-0.0,0.0038588738658813515,-0.0
2025-05-01,0.9286268364769728,0.5739036907719344,1.0,1.0,0.14780738154386874,0.025522271846548202,-0.037361741757710676,-0.0009663176657240976
2025-05-02,0.9672180334490461,0.007998049790549083,1.0,0.0,-0.5,-0.0,-0.03145849927117084,-1.2761135923274101e-05
2025-05-05,0.016468208611186846,0.46198927407720214,-1.0,0.0,-0.07602145184559572,0.0,-0.0019106906696092496,-0.0
2025-05-07,0.9945999957372367,0.4094014389216728,1.0,0.0,-0.1811971221566544,-0.0,0.006318533035958307,-0.0
2025-05-08,0.953333308726968,0.9962672179167906,1.0,1.0,0.5,0.1919432193221214,0.0052660880535218,0.0009148182845656775
2025-05-09,0.7104835171949976,0.030653444570770568,1.0,0.0,-0.5,-0.0,0.06314616899655467,-9.597160966106071e-05
2025-05-12,0.9995685422879272,0.9536462235981983,1.0,1.0,0.5,0.15855403849593086,0.010152280585241868,0.0015304080674859652
2025-05-13,0.011283933658960927,0.9975031292568106,-1.0,1.0,0.5,-0.17355006639476916,-0.0028178257737542234,0.0003229817976785872
2025-05-15,0.8188452970148051,0.9940486772191719,1.0,1.0,0.5,0.1736895922135913,-0.0008985774907133148,-0.000329693387238488
2025-05-19,0.9411654102215029,0.6395064817560293,1.0,1.0,0.2790129635120586,0.10350184871148466,-0.00919624836148425,-0.0009869225783746347
