Date,SPY,TLT,SHY,ret_SPY,ret_TLT,ret_SHY,p_risk_off,w_regime_SPY,w_regime_TLT,w_regime_SHY,w_bench_SPY,w_bench_TLT,w_bench_SHY,ret_regime,ret_benchmark
2022-02-15,423.2215576171875,118.24356842041016,75.22527313232422,0.01612695113424123,-0.011353055893714381,0.0003565191515413346,0.29616608322369553,0.5202409588190718,0.13006023970476796,0.0,0.42956956291209597,0.286379708608064,0.0,0.0015671316694503895,0.0037286306677178733
2022-02-16,423.6958923339844,118.94434356689453,75.32341766357422,0.0011207716342889196,0.005926539226157379,0.0013046749737599672,0.27314783565195866,0.5450412254122293,0.13626030635305733,0.0,0.4592845844303228,0.30618972295354857,0.0,0.0013538784220134244,0.002178689957706978
2022-02-17,414.6451721191406,119.82907104492188,75.3680191040039,-0.021361359358446186,0.007438163526706676,0.000592132457782224,0.33970404906808144,0.5231002845343402,0.13077507113358505,0.0,0.44807760732240554,0.2987184048816037,0.0,-0.010629295040345313,-0.007533453826285235
2022-02-18,411.9602966308594,121.09056854248047,75.37696075439453,-0.006475115758757255,0.01052747456487979,0.0001186398487968976,0.3254694322350586,0.526233921473282,0.1315584803683205,0.0,0.4489355319297626,0.2992903546198417,0.0,-0.0020104036607195485,0.0002433960331329932
2022-02-22,407.5392761230469,121.4059066772461,75.3055419921875,-0.010731666483321356,0.0026041510793219924,-0.0009474879524492552,0.444516731673809,0.3367128623783129,0.3367128623783129,0.0,0.4515368514419173,0.3010245676279449,0.0,-0.00530476877881646,-0.004038429101168755
2022-02-23,400.3100280761719,119.73272705078125,75.26094818115234,-0.017738776285926128,-0.013781698701966327,-0.000592171702844646,0.6163549066170454,0.3219032824557054,0.3219032824557054,0.0,0.42055012298262207,0.2803667486550814,0.0,-0.010613349356697286,-0.012158341085517655
2022-02-24,406.3344421386719,119.81161499023438,75.32341766357422,0.015049370837529219,0.0006588669731013574,0.0008300384718979981,0.5352369617750636,0.3139170437426083,0.3139170437426083,0.0,0.4113324090056626,0.2742216060037751,0.0,0.005056533312836806,0.006513739147578642
2022-02-25,415.2997131347656,119.89920806884766,75.32341766357422,0.02206377325266007,0.0007310900418162625,0.0,0.3813332954791732,0.48408229134843367,0.12102057283710842,0.0,0.39252430472982264,0.2616828698198818,0.0,0.0071556960979189035,0.009276025689171592
2022-02-28,414.2372741699219,122.52720642089844,75.45726776123047,-0.0025582463248632337,0.021918396246134897,0.0017770051042305113,0.37790827290631696,0.490314758668917,0.12257868966722925,0.0,0.38904716421562885,0.2593647761437526,0.0,0.0014141751266044686,0.00473149497154334
2022-03-01,407.9282531738281,123.94384765625,75.6313247680664,-0.015230452181629994,0.011561850439038013,0.002306696385916185,0.45822369219795456,0.3193791988607196,0.3193791988607196,0.0,0.4142555787196163,0.27617038581307757,0.0,-0.006050479008908633,-0.0029266274800562454
2022-03-02,415.4326477050781,119.70710754394531,75.38140106201172,0.018396358851987094,-0.0341827383320793,-0.0033044999121872864,0.33691746807919,0.5207162347124068,0.1301790586781017,0.0,0.4267402502113979,0.28449350014093194,0.0,-0.005041841231263152,-0.0018194657507541664
2022-03-03,413.3643493652344,120.92637634277344,75.38140106201172,-0.0049786610447430935,0.010185433629164686,0.0,0.3431653072219371,0.5243821663646414,0.13109554159116035,0.0,0.42825756775457485,0.2855050451697166,0.0,-0.001266539471055021,0.0007730946036628092
2022-03-04,410.0059509277344,123.01400756835938,75.46172332763672,-0.00812454785386596,0.0172636548677223,0.001065544875703761,0.6314636571494523,0.3379773258303636,0.3379773258303636,0.0,0.43738952042902424,0.29159301361934953,0.0,-0.001997179819616503,0.0014494614598011663
